feature,coefficient
ACTION_GROUP_ohe_Dunk,1.935775586563157
ZONE_RANGE_ohe_Back Court Shot,-1.341971139054009
ACTION_GROUP_ohe_Jump Shot,-0.3708159636808318
BASIC_ZONE_ohe_Restricted Area,0.2952734766789802
ZONE_RANGE_ohe_Less Than 8 ft.,-0.17394573183742945
ZONE_RANGE_ohe_16-24 ft.,0.08052768075567915
BASIC_ZONE_ohe_Left Corner 3,0.07926474609847063
BASIC_ZONE_ohe_Right Corner 3,0.0791044203830676
IS_CLUTCH,-0.0549377006705571
ACTION_GROUP_ohe_Other,-0.051843229974019966
BASIC_ZONE_ohe_In The Paint (Non-RA),-0.03697797687896012
QUARTER,-0.017080394820989046
SHOT_DISTANCE,-0.015046978579282014
ACTION_GROUP_ohe_Hook,0.012969374952201185
LOC_Y,-4.289044689872589E-4
SECS_REMAINING,1.0130599401301046E-4
LOC_X,0.0
IS_3PT,0.0
SHOT_VALUE,0.0
BASIC_ZONE_ohe_Mid-Range,0.0
BASIC_ZONE_ohe_Above the Break 3,0.0
SHOT_TYPE_ohe_2PT Field Goal,0.0
SHOT_TYPE_ohe_3PT Field Goal,0.0
ZONE_RANGE_ohe_24+ ft.,0.0
ZONE_RANGE_ohe_8-16 ft.,0.0
ACTION_GROUP_ohe_Layup,0.0
