regParam,feature,coefficient
0.05,LOC_X,0.0
0.05,LOC_Y,0.0
0.05,SHOT_DISTANCE,0.0
0.05,SECS_REMAINING,0.0
0.05,IS_3PT,0.0
0.05,SHOT_VALUE,0.0
0.05,IS_CLUTCH,0.0
0.05,QUARTER,0.0
0.05,BASIC_ZONE_ohe_Restricted Area,0.19513308946227337
0.05,BASIC_ZONE_ohe_Mid-Range,0.0
0.05,BASIC_ZONE_ohe_Above the Break 3,0.0
0.05,BASIC_ZONE_ohe_In The Paint (Non-RA),0.0
0.05,BASIC_ZONE_ohe_Left Corner 3,0.0
0.05,BASIC_ZONE_ohe_Right Corner 3,0.0
0.05,SHOT_TYPE_ohe_2PT Field Goal,0.0
0.05,SHOT_TYPE_ohe_3PT Field Goal,0.0
0.05,ZONE_RANGE_ohe_Less Than 8 ft.,0.0
0.05,ZONE_RANGE_ohe_24+ ft.,0.0
0.05,ZONE_RANGE_ohe_16-24 ft.,0.0
0.05,ZONE_RANGE_ohe_8-16 ft.,0.0
0.05,ZONE_RANGE_ohe_Back Court Shot,0.0
0.05,ACTION_GROUP_ohe_Jump Shot,-0.21213120783958042
0.05,ACTION_GROUP_ohe_Layup,0.0
0.05,ACTION_GROUP_ohe_Dunk,0.7417718598772072
0.05,ACTION_GROUP_ohe_Hook,0.0
0.05,ACTION_GROUP_ohe_Other,0.0
0.01,LOC_X,0.0
0.01,LOC_Y,0.0
0.01,SHOT_DISTANCE,-0.0034098555479832645
0.01,SECS_REMAINING,0.0
0.01,IS_3PT,0.0
0.01,SHOT_VALUE,0.0
0.01,IS_CLUTCH,0.0
0.01,QUARTER,0.0
0.01,BASIC_ZONE_ohe_Restricted Area,0.288417146910808
0.01,BASIC_ZONE_ohe_Mid-Range,0.0
0.01,BASIC_ZONE_ohe_Above the Break 3,-0.06124199886642159
0.01,BASIC_ZONE_ohe_In The Paint (Non-RA),0.0
0.01,BASIC_ZONE_ohe_Left Corner 3,0.0
0.01,BASIC_ZONE_ohe_Right Corner 3,0.0
0.01,SHOT_TYPE_ohe_2PT Field Goal,0.0
0.01,SHOT_TYPE_ohe_3PT Field Goal,0.0
0.01,ZONE_RANGE_ohe_Less Than 8 ft.,0.0
0.01,ZONE_RANGE_ohe_24+ ft.,0.0
0.01,ZONE_RANGE_ohe_16-24 ft.,0.0
0.01,ZONE_RANGE_ohe_8-16 ft.,0.0
0.01,ZONE_RANGE_ohe_Back Court Shot,0.0
0.01,ACTION_GROUP_ohe_Jump Shot,-0.3179855116695668
0.01,ACTION_GROUP_ohe_Layup,0.0
0.01,ACTION_GROUP_ohe_Dunk,1.6136580108833625
0.01,ACTION_GROUP_ohe_Hook,0.0
0.01,ACTION_GROUP_ohe_Other,0.0
0.005,LOC_X,0.0
0.005,LOC_Y,0.0
0.005,SHOT_DISTANCE,-0.0017730498960061404
0.005,SECS_REMAINING,4.144241486691187E-5
0.005,IS_3PT,0.0
0.005,SHOT_VALUE,0.0
0.005,IS_CLUTCH,-0.01571726495002374
0.005,QUARTER,-0.005236564468310925
0.005,BASIC_ZONE_ohe_Restricted Area,0.3139328873090333
0.005,BASIC_ZONE_ohe_Mid-Range,0.0
0.005,BASIC_ZONE_ohe_Above the Break 3,-0.11371023279547494
0.005,BASIC_ZONE_ohe_In The Paint (Non-RA),0.0
0.005,BASIC_ZONE_ohe_Left Corner 3,0.0
0.005,BASIC_ZONE_ohe_Right Corner 3,0.0
0.005,SHOT_TYPE_ohe_2PT Field Goal,0.0
0.005,SHOT_TYPE_ohe_3PT Field Goal,0.0
0.005,ZONE_RANGE_ohe_Less Than 8 ft.,0.0
0.005,ZONE_RANGE_ohe_24+ ft.,0.0
0.005,ZONE_RANGE_ohe_16-24 ft.,0.0
0.005,ZONE_RANGE_ohe_8-16 ft.,0.0
0.005,ZONE_RANGE_ohe_Back Court Shot,-0.20599384709579685
0.005,ACTION_GROUP_ohe_Jump Shot,-0.3397462225603392
0.005,ACTION_GROUP_ohe_Layup,0.0
0.005,ACTION_GROUP_ohe_Dunk,1.787736324370604
0.005,ACTION_GROUP_ohe_Hook,0.0
0.005,ACTION_GROUP_ohe_Other,0.0
0.001,LOC_X,0.0
0.001,LOC_Y,-4.289044689872589E-4
0.001,SHOT_DISTANCE,-0.015046978579282014
0.001,SECS_REMAINING,1.0130599401301046E-4
0.001,IS_3PT,0.0
0.001,SHOT_VALUE,0.0
0.001,IS_CLUTCH,-0.0549377006705571
0.001,QUARTER,-0.017080394820989046
0.001,BASIC_ZONE_ohe_Restricted Area,0.2952734766789802
0.001,BASIC_ZONE_ohe_Mid-Range,0.0
0.001,BASIC_ZONE_ohe_Above the Break 3,0.0
0.001,BASIC_ZONE_ohe_In The Paint (Non-RA),-0.03697797687896012
0.001,BASIC_ZONE_ohe_Left Corner 3,0.07926474609847063
0.001,BASIC_ZONE_ohe_Right Corner 3,0.0791044203830676
0.001,SHOT_TYPE_ohe_2PT Field Goal,0.0
0.001,SHOT_TYPE_ohe_3PT Field Goal,0.0
0.001,ZONE_RANGE_ohe_Less Than 8 ft.,-0.17394573183742945
0.001,ZONE_RANGE_ohe_24+ ft.,0.0
0.001,ZONE_RANGE_ohe_16-24 ft.,0.08052768075567915
0.001,ZONE_RANGE_ohe_8-16 ft.,0.0
0.001,ZONE_RANGE_ohe_Back Court Shot,-1.341971139054009
0.001,ACTION_GROUP_ohe_Jump Shot,-0.3708159636808318
0.001,ACTION_GROUP_ohe_Layup,0.0
0.001,ACTION_GROUP_ohe_Dunk,1.935775586563157
0.001,ACTION_GROUP_ohe_Hook,0.012969374952201185
0.001,ACTION_GROUP_ohe_Other,-0.051843229974019966
5.0E-4,LOC_X,0.0
5.0E-4,LOC_Y,-7.288158241255737E-4
5.0E-4,SHOT_DISTANCE,-0.017493144648221808
5.0E-4,SECS_REMAINING,1.0852473941237671E-4
5.0E-4,IS_3PT,0.0
5.0E-4,SHOT_VALUE,0.0
5.0E-4,IS_CLUTCH,-0.06140345870413591
5.0E-4,QUARTER,-0.018546369631955082
5.0E-4,BASIC_ZONE_ohe_Restricted Area,0.20420943980150275
5.0E-4,BASIC_ZONE_ohe_Mid-Range,-0.12239092872015284
5.0E-4,BASIC_ZONE_ohe_Above the Break 3,-0.045508518919802086
5.0E-4,BASIC_ZONE_ohe_In The Paint (Non-RA),-0.13457798560417697
5.0E-4,BASIC_ZONE_ohe_Left Corner 3,0.03846895485449991
5.0E-4,BASIC_ZONE_ohe_Right Corner 3,0.03817681979763993
5.0E-4,SHOT_TYPE_ohe_2PT Field Goal,0.0
5.0E-4,SHOT_TYPE_ohe_3PT Field Goal,0.0
5.0E-4,ZONE_RANGE_ohe_Less Than 8 ft.,-0.1943636751926683
5.0E-4,ZONE_RANGE_ohe_24+ ft.,0.006418623475210597
5.0E-4,ZONE_RANGE_ohe_16-24 ft.,0.152810522112456
5.0E-4,ZONE_RANGE_ohe_8-16 ft.,0.027841921734909434
5.0E-4,ZONE_RANGE_ohe_Back Court Shot,-1.6344501333667034
5.0E-4,ACTION_GROUP_ohe_Jump Shot,-0.3907043623560554
5.0E-4,ACTION_GROUP_ohe_Layup,-0.0022863799075345153
5.0E-4,ACTION_GROUP_ohe_Dunk,1.952513809214617
5.0E-4,ACTION_GROUP_ohe_Hook,0.014392749245535491
5.0E-4,ACTION_GROUP_ohe_Other,-0.08205305350638084
1.0E-4,LOC_X,-1.6357157737586486E-4
1.0E-4,LOC_Y,-6.403794137131E-4
1.0E-4,SHOT_DISTANCE,-0.027786121262375597
1.0E-4,SECS_REMAINING,1.1347741643157375E-4
1.0E-4,IS_3PT,0.0165791263560531
1.0E-4,SHOT_VALUE,0.016579126356116122
1.0E-4,IS_CLUTCH,-0.0640279225179606
1.0E-4,QUARTER,-0.01986743901874229
1.0E-4,BASIC_ZONE_ohe_Restricted Area,0.18506007094683383
1.0E-4,BASIC_ZONE_ohe_Mid-Range,-0.1844518669352319
1.0E-4,BASIC_ZONE_ohe_Above the Break 3,-0.03338297033103179
1.0E-4,BASIC_ZONE_ohe_In The Paint (Non-RA),-0.15735536590953147
1.0E-4,BASIC_ZONE_ohe_Left Corner 3,0.03879253032165007
1.0E-4,BASIC_ZONE_ohe_Right Corner 3,0.03503337781151739
1.0E-4,SHOT_TYPE_ohe_2PT Field Goal,-0.016579126355985074
1.0E-4,SHOT_TYPE_ohe_3PT Field Goal,0.0165791263560531
1.0E-4,ZONE_RANGE_ohe_Less Than 8 ft.,-0.297215664256516
1.0E-4,ZONE_RANGE_ohe_24+ ft.,0.02299871213659186
1.0E-4,ZONE_RANGE_ohe_16-24 ft.,0.2513108101052357
1.0E-4,ZONE_RANGE_ohe_8-16 ft.,0.03590676600858664
1.0E-4,ZONE_RANGE_ohe_Back Court Shot,-1.9353474419628318
1.0E-4,ACTION_GROUP_ohe_Jump Shot,-0.3512013146425433
1.0E-4,ACTION_GROUP_ohe_Layup,0.008694888055198398
1.0E-4,ACTION_GROUP_ohe_Dunk,1.9780026974989966
1.0E-4,ACTION_GROUP_ohe_Hook,0.07246157349703955
1.0E-4,ACTION_GROUP_ohe_Other,-0.0816362011243717
