SEASON_1,total_attempts,three_pt_attempts,three_pt_rate_pct,overall_fg_pct
2004,189467,35159,18.6,43.9
2005,197263,38386,19.5,44.8
2006,193943,38943,20.1,45.5
2007,195696,41296,21.1,45.9
2008,200033,44080,22.0,45.8
2009,198585,44117,22.2,46.0
2010,200491,44124,22.0,46.2
2011,199292,43815,22.0,46.0
2012,160901,36071,22.4,44.9
2013,201159,48617,24.2,45.4
2014,203682,52484,25.8,45.5
2015,205123,54690,26.7,45.0
2016,207453,58645,28.3,45.3
2017,209430,65739,31.4,45.8
2018,211183,70815,33.5,46.1
2019,218992,78276,35.7,46.1
2020,187711,71847,38.3,46.1
2021,190674,74513,39.1,46.7
2022,216282,86095,39.8,46.2
2023,216814,83758,38.6,47.6
2024,218268,85922,39.4,47.5
